Question,Answer,QuestionAnswer
Are there any fees associated with accessing services at a CSC?,"While many services at CSCs are free, some might carry a nominal fee, particularly those involving private entities or specific service requests. Fees, if any, are usually minimal and are meant to cover the operational costs of the centers.","Are there any fees associated with accessing services at a CSC?While many services at CSCs are free, some might carry a nominal fee, particularly those involving private entities or specific service requests. Fees, if any, are usually minimal and are meant to cover the operational costs of the centers."
How/procedure to access CSC services?, Services at CSCs can be accessed by visiting the center in person. Some CSCs also offer online registration and appointment scheduling through their websites or apps to streamline the process.,How/procedure to access CSC services? Services at CSCs can be accessed by visiting the center in person. Some CSCs also offer online registration and appointment scheduling through their websites or apps to streamline the process.
What types of insurance does New India Assurance offer?,"New India Assurance provides a variety of insurance products, including motor insurance, health insurance, travel insurance, home insurance, and commercial insurance, among others. They cater to both individuals and businesses.","What types of insurance does New India Assurance offer?New India Assurance provides a variety of insurance products, including motor insurance, health insurance, travel insurance, home insurance, and commercial insurance, among others. They cater to both individuals and businesses."
What is the Aadhaar enrolment procedure?,"The Aadhaar enrolment process includes visiting Akshaya Centre, filling the enrolment form, getting demographic and biometric data captured, submitting proof of Identity and address documents, before collecting acknowledgement slip containing Enrolment ID.","What is the Aadhaar enrolment procedure?The Aadhaar enrolment process includes visiting Akshaya Centre, filling the enrolment form, getting demographic and biometric data captured, submitting proof of Identity and address documents, before collecting acknowledgement slip containing Enrolment ID."
What is the fee for Aadhaar Enrolment ?,Aadhaar Enrolment is free of cost.,What is the fee for Aadhaar Enrolment ?Aadhaar Enrolment is free of cost.
Can I get myself Enroled for Aadhaar ?,"No, you have to personally visit the Akshay centre for getting yourself Enroled as your Biometrics will be captured.","Can I get myself Enroled for Aadhaar ?No, you have to personally visit the Akshay centre for getting yourself Enroled as your Biometrics will be captured."
What are the documents required for enrolment for Aadhaar?,"Applicable documents in support of Proof of Identity (PoI), Proof of Address (PoA), Proof of Relationship (PoR) and Proof of Date of Birth(PDB) are required for enrolment.","What are the documents required for enrolment for Aadhaar?Applicable documents in support of Proof of Identity (PoI), Proof of Address (PoA), Proof of Relationship (PoR) and Proof of Date of Birth(PDB) are required for enrolment."
what are the documents that are accepted for Aadhar Enrolment?,"Head of the Family Based Enrolment :-                                           1.Birth certificate issued by Authorised Authority (in the
respective States) under the Registration of Births and Deaths
Act, 1969, read with the rules made thereunder
2. Valid Indian Passport (only applicable for NRIs) 
3. Document to prove legal guardianship :                             Document based Enrolment                                                   1.Certificate issued on UIDAI Standard Certificate format by
Superintendent/ Warden/ Matron/ Head of Institution of
recognised shelter homes or orphanages
(only for children of the shelter home or orphanage concerned)                   ","what are the documents that are accepted for Aadhar Enrolment?Head of the Family Based Enrolment :-                                           1.Birth certificate issued by Authorised Authority (in the
respective States) under the Registration of Births and Deaths
Act, 1969, read with the rules made thereunder
2. Valid Indian Passport (only applicable for NRIs) 
3. Document to prove legal guardianship :                             Document based Enrolment                                                   1.Certificate issued on UIDAI Standard Certificate format by
Superintendent/ Warden/ Matron/ Head of Institution of
recognised shelter homes or orphanages
(only for children of the shelter home or orphanage concerned)                   "
Is there any age limit for Aadhaar enrolment?,No There is no Age limit,Is there any age limit for Aadhaar enrolment?No There is no Age limit
What kind of data gets captured during Aadhaar Enrolment?,"The enrolment operator shall capture the following information during the course of enrolment:                                                                         1. Mandatory Demographic information (Name, Date of Birth, Gender, Address)
2. Optional demographic information (mobile number, email [mandatory for NRI and Resident Foreign National])
Details of Mother/Father/Legal Guardian (in case of HOF based enrolment)","What kind of data gets captured during Aadhaar Enrolment?The enrolment operator shall capture the following information during the course of enrolment:                                                                         1. Mandatory Demographic information (Name, Date of Birth, Gender, Address)
2. Optional demographic information (mobile number, email [mandatory for NRI and Resident Foreign National])
Details of Mother/Father/Legal Guardian (in case of HOF based enrolment)"
What is the enrolment procedure for children below the age of 5 year,Resident Indian/NRI child seeking enrolment need to visit an Aadhaar enrolment centre along with Mother and/or Father or Legal guardian submit a request in requisite form along with valid supporting documents.,What is the enrolment procedure for children below the age of 5 yearResident Indian/NRI child seeking enrolment need to visit an Aadhaar enrolment centre along with Mother and/or Father or Legal guardian submit a request in requisite form along with valid supporting documents.
I did not get my Aadhaar Card. Can I get it at Aadhaar Enrolment Centre?, You can use the Aadhaar download and coloured print service available at an Akshaya Centre at a charge of Rs. 30/-. The physical presence of the Aadhaar holder is required for biometric authentication.,I did not get my Aadhaar Card. Can I get it at Aadhaar Enrolment Centre? You can use the Aadhaar download and coloured print service available at an Akshaya Centre at a charge of Rs. 30/-. The physical presence of the Aadhaar holder is required for biometric authentication.
Can I get Aadhar card from Akshaya Centre?,"In Kerala, Akshaya is the authorized agency for the enrolment of UIDAI/Aadhaar. Child Enrolment: Now, Government of India has mandated Aadhaar enrolment for all citizens including infants.","Can I get Aadhar card from Akshaya Centre?In Kerala, Akshaya is the authorized agency for the enrolment of UIDAI/Aadhaar. Child Enrolment: Now, Government of India has mandated Aadhaar enrolment for all citizens including infants."
Who issues ration card in Kerala?,Department of Civil Supplies & Consumer Affairs,Who issues ration card in Kerala?Department of Civil Supplies & Consumer Affairs
Does Akshaya Provide Ration Card services ?,"Yes and the service enables to submit online, applications related to ration cards. Verification of ration cards can be made online using this service.","Does Akshaya Provide Ration Card services ?Yes and the service enables to submit online, applications related to ration cards. Verification of ration cards can be made online using this service."
What are the documents required for ration card ?,"1. Residential certificate.                                                                      2.Aadhar card number.
3.Voter ID.
4.Bank account.
5.Domicile.
6.Requires LPG connection details of the applicant.
7.Photo and signature of the applicant.","What are the documents required for ration card ?1. Residential certificate.                                                                      2.Aadhar card number.
3.Voter ID.
4.Bank account.
5.Domicile.
6.Requires LPG connection details of the applicant.
7.Photo and signature of the applicant."
What are the types of ration card in Kerala?,"The card is available for three categories: APL, BPL, and people who come under Antyodaya Anna Yojana","What are the types of ration card in Kerala?The card is available for three categories: APL, BPL, and people who come under Antyodaya Anna Yojana"
Who is eligible for APL ration card?,The family should have a regular source of income that is above the poverty line. The family should not possess any BPL (Below Poverty Line) Ration Card. The family should not possess any Antyodaya Ration Card.,Who is eligible for APL ration card?The family should have a regular source of income that is above the poverty line. The family should not possess any BPL (Below Poverty Line) Ration Card. The family should not possess any Antyodaya Ration Card.
How to apply for a ration card?,"To apply for a ration card from the Akshaya Centre the steps to be followed are:                                                                         Step 1 - Visit the Akshaya centre located nearest to you.                                               
Step 2 - At the centre, you will need to take the application form, fill it and submit it along with the necessary documents required for verification.","How to apply for a ration card?To apply for a ration card from the Akshaya Centre the steps to be followed are:                                                                         Step 1 - Visit the Akshaya centre located nearest to you.                                               
Step 2 - At the centre, you will need to take the application form, fill it and submit it along with the necessary documents required for verification."
How many days will take to get new ration card in Kerala?,It will take 15 days,How many days will take to get new ration card in Kerala?It will take 15 days
What is the fee for applying aadhaar card?,Akshaya centres will collect a fee of Rs 25 for printing the ration card and Rs 50 as the price of the card.,What is the fee for applying aadhaar card?Akshaya centres will collect a fee of Rs 25 for printing the ration card and Rs 50 as the price of the card.
What is the purpose of the comunity certificate?,"A Community Certificate is the proof of one’s belonging to a particular caste, especially in case one belongs to any of the ‘Scheduled Castes’, ‘Scheduled Tribe’ and other Backward Classes as specified in the Indian Constitution. This will bring special encouragement and opportunities to the Scheduled Castes and Tribes for their progress at the same pace as the rest of the citizenry.","What is the purpose of the comunity certificate?A Community Certificate is the proof of one’s belonging to a particular caste, especially in case one belongs to any of the ‘Scheduled Castes’, ‘Scheduled Tribe’ and other Backward Classes as specified in the Indian Constitution. This will bring special encouragement and opportunities to the Scheduled Castes and Tribes for their progress at the same pace as the rest of the citizenry."
What is the procedure for applying for a community certificate?,"1. Go to the nearest Akshaya Center.                                                            2. Ask for the community certificate application form.
3. Fill it out and submit along with required documents.
4. Wait for verification through e-district
5. Collect your certificate from the center once verified.","What is the procedure for applying for a community certificate?1. Go to the nearest Akshaya Center.                                                            2. Ask for the community certificate application form.
3. Fill it out and submit along with required documents.
4. Wait for verification through e-district
5. Collect your certificate from the center once verified."
what are the documents required for a community certificate?, ration card                                                                                         School leaving certificate,what are the documents required for a community certificate? ration card                                                                                         School leaving certificate
Minimum time required to process the community certificate?,a minimum of 5 days will be utilised.,Minimum time required to process the community certificate?a minimum of 5 days will be utilised.
What is the fees for applying a community certificate?,"Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing                             SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing
BPL families need to pay Rs 20","What is the fees for applying a community certificate?Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing                             SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing
BPL families need to pay Rs 20"
What is the validity of the community certificate?,3 Years from the date of issue of certificate,What is the validity of the community certificate?3 Years from the date of issue of certificate
How can I purchase insurance from New India Assurance?,"You can purchase insurance from New India Assurance through multiple channels:

1)Directly from their website: This is often the most straightforward method for many types of insurance.
2)Through insurance agents: They have a large network of agents who can help tailor policies to your needs.
3)Branch offices: You can visit any of their branch offices.
4)Over the phone: By contacting their customer service centers.","How can I purchase insurance from New India Assurance?You can purchase insurance from New India Assurance through multiple channels:

1)Directly from their website: This is often the most straightforward method for many types of insurance.
2)Through insurance agents: They have a large network of agents who can help tailor policies to your needs.
3)Branch offices: You can visit any of their branch offices.
4)Over the phone: By contacting their customer service centers."
What is the process for filing a claim with New India Assurance?,"1)Notify the company: Contact them as soon as possible after the incident. This can be done online, via phone, or at a branch office.
2)Submit the required documents: Provide all necessary documentation such as proof of insurance, details of the incident, and any third-party reports.
3)Claim assessment: The company will assess the claim based on the provided documentation and the terms of the policy.
4)Settlement: If the claim is approved, the settlement amount will be disbursed according to the terms of your policy.","What is the process for filing a claim with New India Assurance?1)Notify the company: Contact them as soon as possible after the incident. This can be done online, via phone, or at a branch office.
2)Submit the required documents: Provide all necessary documentation such as proof of insurance, details of the incident, and any third-party reports.
3)Claim assessment: The company will assess the claim based on the provided documentation and the terms of the policy.
4)Settlement: If the claim is approved, the settlement amount will be disbursed according to the terms of your policy."
What are the documents required for purchasing insurance from new India assurance?," For Purchasing Insurance:
1. **Identity Proof**: Valid government-issued identification such as Aadhaar Card, Passport, Voter ID, or Driving License.
2. **Address Proof**: Utility bills, bank statements, or government-issued address documentation like Aadhaar Card or Passport.
3. **Photographs**: Recent passport-sized photographs may be required, especially for personal insurance like health or life.
4. **Vehicle Information** (for motor insurance): Registration details, vehicle registration certificate (RC), and possibly previous insurance details if it's not a new vehicle.
5. **Property Details** (for home or property insurance): Documentation relating to the ownership of the property, such as a title deed or lease agreement.
6. **Health Records** (for health insurance): Medical history or reports if required for underwriting or specific health insurance plans.","What are the documents required for purchasing insurance from new India assurance? For Purchasing Insurance:
1. **Identity Proof**: Valid government-issued identification such as Aadhaar Card, Passport, Voter ID, or Driving License.
2. **Address Proof**: Utility bills, bank statements, or government-issued address documentation like Aadhaar Card or Passport.
3. **Photographs**: Recent passport-sized photographs may be required, especially for personal insurance like health or life.
4. **Vehicle Information** (for motor insurance): Registration details, vehicle registration certificate (RC), and possibly previous insurance details if it's not a new vehicle.
5. **Property Details** (for home or property insurance): Documentation relating to the ownership of the property, such as a title deed or lease agreement.
6. **Health Records** (for health insurance): Medical history or reports if required for underwriting or specific health insurance plans."
What are the documents required for filing a claim from New India Assurance?,"### For Filing a Claim:
1. **Policy Document**: Your insurance policy document that shows you have an active policy.
2. **Claim Form**: A completed claim form which is usually provided by the insurance company.
3. **Proof of Incident**: For example, in the case of motor insurance, a copy of the FIR or a police report in case of theft or an accident report. For health claims, detailed medical reports and hospital bills.
4. **Proof of Identity**: To confirm the identity of the claimant.
5. **Bank Details**: For the transfer of the claim amount.","What are the documents required for filing a claim from New India Assurance?### For Filing a Claim:
1. **Policy Document**: Your insurance policy document that shows you have an active policy.
2. **Claim Form**: A completed claim form which is usually provided by the insurance company.
3. **Proof of Incident**: For example, in the case of motor insurance, a copy of the FIR or a police report in case of theft or an accident report. For health claims, detailed medical reports and hospital bills.
4. **Proof of Identity**: To confirm the identity of the claimant.
5. **Bank Details**: For the transfer of the claim amount."
What is digital financial literacy?,"Digital financial literacy is the ability to understand and effectively use various digital financial tools and services, such as online banking, mobile payments, and digital budgeting platforms. It includes skills in managing financial transactions digitally, understanding cybersecurity measures, and making informed financial decisions using technology.","What is digital financial literacy?Digital financial literacy is the ability to understand and effectively use various digital financial tools and services, such as online banking, mobile payments, and digital budgeting platforms. It includes skills in managing financial transactions digitally, understanding cybersecurity measures, and making informed financial decisions using technology."
 Are digital financial services available to everyone?," While digital financial services aim to increase financial inclusion, their availability can depend on factors such as internet access, technological infrastructure, and digital literacy levels. Efforts are ongoing globally to extend these services to underrepresented and underserved communities."," Are digital financial services available to everyone? While digital financial services aim to increase financial inclusion, their availability can depend on factors such as internet access, technological infrastructure, and digital literacy levels. Efforts are ongoing globally to extend these services to underrepresented and underserved communities."
What are the documents required for accessing digital financial services?,"Here's a general list of the documents commonly required:

### 1. **Proof of Identity**
- **Government-Issued Photo ID**: Such as a passport, driver's license, national ID card, or Aadhaar card (in India).
- **Social Security Number or National Identification Number**: Depending on the country.

### 2. **Proof of Address**
- **Utility Bills**: Such as electricity, water, or gas bills that show your name and current address.
- **Bank Statements**: Recent statements that include your address.
- **Lease Agreement or Property Tax Receipt**: For homeowners or tenants.

### 3. **Financial Information**
- **Bank Account Details**: Required for setting up direct debits or credit facilities.
- **Income Verification**: Pay slips, tax returns, or employer letters to verify income, which might be necessary for credit applications.

### 4. **Contact Information**
- **Phone Number and Email Address**: Essential for account setup and verification processes.

### 5. **Consent Documentation**
- **Privacy Policy Agreements**: Documents that need to be signed electronically, agreeing to the terms of service and privacy policy of the digital financial service provider.

### 6. **Additional Supporting Documents**
- **Recent Photographs**: Some services may require a recent photo, especially if setting up a profile for a service that includes a visual ID check.
- **Verification Codes**: Sent via SMS or email to verify your device and login credentials during the setup of digital financial accounts.","What are the documents required for accessing digital financial services?Here's a general list of the documents commonly required:

### 1. **Proof of Identity**
- **Government-Issued Photo ID**: Such as a passport, driver's license, national ID card, or Aadhaar card (in India).
- **Social Security Number or National Identification Number**: Depending on the country.

### 2. **Proof of Address**
- **Utility Bills**: Such as electricity, water, or gas bills that show your name and current address.
- **Bank Statements**: Recent statements that include your address.
- **Lease Agreement or Property Tax Receipt**: For homeowners or tenants.

### 3. **Financial Information**
- **Bank Account Details**: Required for setting up direct debits or credit facilities.
- **Income Verification**: Pay slips, tax returns, or employer letters to verify income, which might be necessary for credit applications.

### 4. **Contact Information**
- **Phone Number and Email Address**: Essential for account setup and verification processes.

### 5. **Consent Documentation**
- **Privacy Policy Agreements**: Documents that need to be signed electronically, agreeing to the terms of service and privacy policy of the digital financial service provider.

### 6. **Additional Supporting Documents**
- **Recent Photographs**: Some services may require a recent photo, especially if setting up a profile for a service that includes a visual ID check.
- **Verification Codes**: Sent via SMS or email to verify your device and login credentials during the setup of digital financial accounts."
What is aadhar seeding?," Aadhaar seeding is the process of linking your Aadhaar number with your personal identification documents or accounts, such as your bank account, PAN (Permanent Account Number), mobile number, etc. This linkage enables easier identification and helps streamline various governmental and financial services.","What is aadhar seeding? Aadhaar seeding is the process of linking your Aadhaar number with your personal identification documents or accounts, such as your bank account, PAN (Permanent Account Number), mobile number, etc. This linkage enables easier identification and helps streamline various governmental and financial services."
How can I seed my Aadhaar with my bank account?,"1)Online via Internet Banking: Log into your internet banking account and find the option for updating Aadhaar details.
2)Visiting the Bank Branch: Submit a copy of your Aadhaar card along with a request form at your bank branch.
3)Through ATM: Some banks offer an option to link Aadhaar at their ATMs.
4)Mobile Banking Apps: Use your bank’s mobile app where there is usually an option to update Aadhaar details.","How can I seed my Aadhaar with my bank account?1)Online via Internet Banking: Log into your internet banking account and find the option for updating Aadhaar details.
2)Visiting the Bank Branch: Submit a copy of your Aadhaar card along with a request form at your bank branch.
3)Through ATM: Some banks offer an option to link Aadhaar at their ATMs.
4)Mobile Banking Apps: Use your bank’s mobile app where there is usually an option to update Aadhaar details."
What is the procedure for seeding Aadhar with my bank account?,"1)Online via Internet Banking: Log into your internet banking account and find the option for updating Aadhaar details.
2)Visiting the Bank Branch: Submit a copy of your Aadhaar card along with a request form at your bank branch.
3)Through ATM: Some banks offer an option to link Aadhaar at their ATMs.
4)Mobile Banking Apps: Use your bank’s mobile app where there is usually an option to update Aadhaar details.","What is the procedure for seeding Aadhar with my bank account?1)Online via Internet Banking: Log into your internet banking account and find the option for updating Aadhaar details.
2)Visiting the Bank Branch: Submit a copy of your Aadhaar card along with a request form at your bank branch.
3)Through ATM: Some banks offer an option to link Aadhaar at their ATMs.
4)Mobile Banking Apps: Use your bank’s mobile app where there is usually an option to update Aadhaar details."
What documents are required for Aadhaar seeding?,"For Aadhaar seeding, you generally need to provide a photocopy of your Aadhaar card and fill out a form that the bank or service provider furnishes. No other documents are typically required unless specifically requested by the service provider.","What documents are required for Aadhaar seeding?For Aadhaar seeding, you generally need to provide a photocopy of your Aadhaar card and fill out a form that the bank or service provider furnishes. No other documents are typically required unless specifically requested by the service provider."
Can I de-link my Aadhaar from a service if I change my mind?,"Yes, you can de-link your Aadhaar from any service provider. You will need to submit a written request to the respective service provider detailing your request for de-linking your Aadhaar.","Can I de-link my Aadhaar from a service if I change my mind?Yes, you can de-link your Aadhaar from any service provider. You will need to submit a written request to the respective service provider detailing your request for de-linking your Aadhaar."
Does aadhar seeding require any fees?,"No, there are no fees associated with Aadhaar seeding. Linking your Aadhaar number with various services like bank accounts, mobile numbers, PAN, and other governmental services is a free process. ","Does aadhar seeding require any fees?No, there are no fees associated with Aadhaar seeding. Linking your Aadhaar number with various services like bank accounts, mobile numbers, PAN, and other governmental services is a free process. "
What is the purpose of the dependency certificate ?,Dependency certificate is a certificate that shows that one is a dependent of someone else with whom he/she has a relation. One may need to produce this certificate in several cases like availing family pension and other benefits.,What is the purpose of the dependency certificate ?Dependency certificate is a certificate that shows that one is a dependent of someone else with whom he/she has a relation. One may need to produce this certificate in several cases like availing family pension and other benefits.
Who is eligible for dependent certificate?,"parents, sisters, widowed sisters, widowed daughters, minor brothers and minor sister, children and step- children wholly dependent upon the Government Servant and are normally residing with the Government Servant”.","Who is eligible for dependent certificate?parents, sisters, widowed sisters, widowed daughters, minor brothers and minor sister, children and step- children wholly dependent upon the Government Servant and are normally residing with the Government Servant”."
What are the documents required for applying dependency certificate?,"1.Aadhaar Card
2.Election/Voters ID
3.Ration Card
4.Affidavit
5.Self declaration of the applicant
6.Land Tax document
7.School Certificates","What are the documents required for applying dependency certificate?1.Aadhaar Card
2.Election/Voters ID
3.Ration Card
4.Affidavit
5.Self declaration of the applicant
6.Land Tax document
7.School Certificates"
What is the time frame and validity of the dependency certificate?,It has a time frame of 7 days from the date of application and validity for a minimum period of time.,What is the time frame and validity of the dependency certificate?It has a time frame of 7 days from the date of application and validity for a minimum period of time.
What are the fee details for dependency certificate?,"
Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing
SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing
BPL families need to pay Rs 20","What are the fee details for dependency certificate?
Rs.18/- (Akshaya service charge) + Rs.7 (Govt.Service charge) + Rs.3 per page for scanning /printing
SC / ST families need to pay Rs 10 + Rs.2 per page for scanning /printing
BPL families need to pay Rs 20"
"Where can I Update my Mobile Number of my aadhaar?
",You can update your mobile number by visiting an Akshaya Centre,"Where can I Update my Mobile Number of my aadhaar?
You can update your mobile number by visiting an Akshaya Centre"
Can one enrol for Aadhaar from anywhere in India?,"Yes,one can enrol for Aadhaar from anywhere in India. All you need is valid Proof of Identity and Proof of Address. See the list of acceptable documents here","Can one enrol for Aadhaar from anywhere in India?Yes,one can enrol for Aadhaar from anywhere in India. All you need is valid Proof of Identity and Proof of Address. See the list of acceptable documents here"
Do I need to bring original documents for updation at the Akshaya Centre?,"Yes, you need to bring original documents for updation at the Aadhaar Enrolment Centre. Please ensure to collect the original documents, after they are scanned by the operator","Do I need to bring original documents for updation at the Akshaya Centre?Yes, you need to bring original documents for updation at the Aadhaar Enrolment Centre. Please ensure to collect the original documents, after they are scanned by the operator"
How much time does it take to get an updation in Aadhaar?,Normally 90% of the update request is completed within 30 days.,How much time does it take to get an updation in Aadhaar?Normally 90% of the update request is completed within 30 days.
What are the documents required for updation in Aadhaar details?,"Head of the Family Based Enrolment :-                                           1.Birth certificate issued by Authorised Authority (in the
respective States) under the Registration of Births and Deaths
Act, 1969, read with the rules made thereunder
2. Valid Indian Passport (only applicable for NRIs) 
3. Document to prove legal guardianship :                             Document based Enrolment                                                   1.Certificate issued on UIDAI Standard Certificate format by
Superintendent/ Warden/ Matron/ Head of Institution of
recognised shelter homes or orphanages
(only for children of the shelter home or orphanage concerned)                   ","What are the documents required for updation in Aadhaar details?Head of the Family Based Enrolment :-                                           1.Birth certificate issued by Authorised Authority (in the
respective States) under the Registration of Births and Deaths
Act, 1969, read with the rules made thereunder
2. Valid Indian Passport (only applicable for NRIs) 
3. Document to prove legal guardianship :                             Document based Enrolment                                                   1.Certificate issued on UIDAI Standard Certificate format by
Superintendent/ Warden/ Matron/ Head of Institution of
recognised shelter homes or orphanages
(only for children of the shelter home or orphanage concerned)                   "
Is there any fee involved for updation in Aadhaar details?,Rs.50 will be charged for updation.,Is there any fee involved for updation in Aadhaar details?Rs.50 will be charged for updation.
Will my Aadhaar number get changed after updation?,"No, your Aadhaar number will always remain the same after the update.","Will my Aadhaar number get changed after updation?No, your Aadhaar number will always remain the same after the update."
What are the advisory services akshaya centres provide?,"1.GST SERVICES
2BANK LOAN & FUNDING SUPPORT SERVICES
3.BUSINESS ACCOUNTING SERVICES
4.COMPANY FORMATION SERVICES IN INDIA
5.E- FILING SERVICES
6.INCOME TAX RETURN (TAX PLANNING REVIEW & FILING)
7.LEGAL DOCUMENTS PREPARATION
8.OTHER BUSINESS REGISTRATION SERVICES (PF,ESI,ISO,Trade Mark,Patent,Copyright etc)
9.PARTNERSHIP REGISTRATION SERVICES","What are the advisory services akshaya centres provide?1.GST SERVICES
2BANK LOAN & FUNDING SUPPORT SERVICES
3.BUSINESS ACCOUNTING SERVICES
4.COMPANY FORMATION SERVICES IN INDIA
5.E- FILING SERVICES
6.INCOME TAX RETURN (TAX PLANNING REVIEW & FILING)
7.LEGAL DOCUMENTS PREPARATION
8.OTHER BUSINESS REGISTRATION SERVICES (PF,ESI,ISO,Trade Mark,Patent,Copyright etc)
9.PARTNERSHIP REGISTRATION SERVICES"
What are the fees for the advisory services? ,The fee for different service varies distinctly . refer the below site for more details. https://globalcompanyformation.co.uk/IN/Akshaya-Business-Services.php,What are the fees for the advisory services? The fee for different service varies distinctly . refer the below site for more details. https://globalcompanyformation.co.uk/IN/Akshaya-Business-Services.php
What are the ticket booking services avaialble ?,Booking train tickets through irctc website.,What are the ticket booking services avaialble ?Booking train tickets through irctc website.
What does the ticket booking service do?,These agents will be able to make online reservation of railway berths and generate tickets for passengers. Individuals can also book their ticke IRCTC web verifies the identity of the authorized travel agent and only allows genuine agents to book tickets using login ID and Password.,What does the ticket booking service do?These agents will be able to make online reservation of railway berths and generate tickets for passengers. Individuals can also book their ticke IRCTC web verifies the identity of the authorized travel agent and only allows genuine agents to book tickets using login ID and Password.
How do I know that my ticket has been booked ?,"After booking, the passenger will receive a reservation message with full details of the ticket including PNR, Train No, date of journey, class etc. Showing the reservation message of the confirmed ticket on their mobile during travel will be sufficient. Akshaya centers across Kerala have the fecility to book Railway Tickets.","How do I know that my ticket has been booked ?After booking, the passenger will receive a reservation message with full details of the ticket including PNR, Train No, date of journey, class etc. Showing the reservation message of the confirmed ticket on their mobile during travel will be sufficient. Akshaya centers across Kerala have the fecility to book Railway Tickets."
What is fees for ticket booking services?,Rs 20/- will be requested  to pay as service charge.,What is fees for ticket booking services?Rs 20/- will be requested  to pay as service charge.
What is the fee for pancard services?,Rs 80 + Rs.3 per page for scanning /printing,What is the fee for pancard services?Rs 80 + Rs.3 per page for scanning /printing
Which documents required for PAN card?,"Aadhar card, Driving License, Passport, Bank account statement (last 3 months), Electricity, gas, or telephone Bill, Voter ID card, Government issued Domicile Certificate, Original Certificate of Address attested by Gazetted officer or MLA, Central/State Government issued letter of Accommodation Allotment","Which documents required for PAN card?Aadhar card, Driving License, Passport, Bank account statement (last 3 months), Electricity, gas, or telephone Bill, Voter ID card, Government issued Domicile Certificate, Original Certificate of Address attested by Gazetted officer or MLA, Central/State Government issued letter of Accommodation Allotment"
How many days does a PAN card take?,"PAN card generation through normal application, will take anywhere between 10 to 15 days. However, if you are an Individual with a valid Aadhar PAN can be generated in less than 1 day.","How many days does a PAN card take?PAN card generation through normal application, will take anywhere between 10 to 15 days. However, if you are an Individual with a valid Aadhar PAN can be generated in less than 1 day."
What is the Procedure for applying a pan-card?,"Step 1: Fill the online application form for making changes/corrections in PAN on the NSDL website. 

Step 2: Pay the application fees. The payment of application fee can be made through credit/debit card, demand draft or net-banking. On successful payment, acknowledgement will be displayed. Save and print this acknowledgement number.

Step 3: Once the application and payment are accepted, the applicant is required to send the supporting documents through courier/post to NSDL. Only after the receipt of the documents, PAN application would be processed by NSDL. Documents sent should support the changes applied for in PAN. Example, request for the change in applicant’s or father’s name will have to be supported with a document that will contain proof of change of name from old to new. ","What is the Procedure for applying a pan-card?Step 1: Fill the online application form for making changes/corrections in PAN on the NSDL website. 

Step 2: Pay the application fees. The payment of application fee can be made through credit/debit card, demand draft or net-banking. On successful payment, acknowledgement will be displayed. Save and print this acknowledgement number.

Step 3: Once the application and payment are accepted, the applicant is required to send the supporting documents through courier/post to NSDL. Only after the receipt of the documents, PAN application would be processed by NSDL. Documents sent should support the changes applied for in PAN. Example, request for the change in applicant’s or father’s name will have to be supported with a document that will contain proof of change of name from old to new. "
What does the grievance services do?,This service aims to provide redressal of grievances of citizens by appropriate government authority. The designated official undertakes investigation of complaints and resolve / address the grievance of the complainant. Public Grievances Redressal through e-District is one of the flagship initiatives taken by the State Government for the reformation in governance.,What does the grievance services do?This service aims to provide redressal of grievances of citizens by appropriate government authority. The designated official undertakes investigation of complaints and resolve / address the grievance of the complainant. Public Grievances Redressal through e-District is one of the flagship initiatives taken by the State Government for the reformation in governance.
What is the time limit for disposal of public grievance?,Citizens may take up matter regarding pendency of their grievances directly with the State Government concerned also. 13. What is the time limit for redress of grievance? Thirty (30) days.,What is the time limit for disposal of public grievance?Citizens may take up matter regarding pendency of their grievances directly with the State Government concerned also. 13. What is the time limit for redress of grievance? Thirty (30) days.
How do public grievances work?,1. Public Grievance (PG) Cell of the Ministry is entrusted with the responsibility of redressal of public grievances. PG Cell receives the grievances/representations from two sources i.e electronically on pgportal.gov.in and through post.,How do public grievances work?1. Public Grievance (PG) Cell of the Ministry is entrusted with the responsibility of redressal of public grievances. PG Cell receives the grievances/representations from two sources i.e electronically on pgportal.gov.in and through post.
What is the grievance redressal system?,"The grievance redressal system provides a fair and transparent process for resolving employee complaints. It ensures that all employees are treated equally and fairly, regardless of their position or seniority.","What is the grievance redressal system?The grievance redressal system provides a fair and transparent process for resolving employee complaints. It ensures that all employees are treated equally and fairly, regardless of their position or seniority."
